DEBUG:root:This is Debug message
INFO:root:This is info message
WARNING:root:This is warning messages
ERROR:root:This is error message
CRITICAL:root:This is critical message
DEBUG:custom-message:This is Debug message
INFO:custom-message:This is info message
WARNING:custom-message:This is warning messages
ERROR:custom-message:This is error message
CRITICAL:custom-message:This is critical message
DEBUG:multi-format-handlers:This is Debug message
INFO:multi-format-handlers:This is info message
WARNING:multi-format-handlers:This is warning messages
ERROR:multi-format-handlers:This is error message
CRITICAL:multi-format-handlers:This is critical message
DEBUG:root:This is debug message 51
DEBUG:root:This is debug message 52
DEBUG:root:This is debug message 53
DEBUG:root:This is debug message 54
DEBUG:root:This is debug message 55
DEBUG:root:This is debug message 56
DEBUG:root:This is debug message 57
DEBUG:root:This is debug message 58
DEBUG:root:This is debug message 59
DEBUG:root:This is debug message 60
DEBUG:root:This is debug message 61
DEBUG:root:This is debug message 62
DEBUG:root:This is debug message 63
DEBUG:root:This is debug message 64
DEBUG:root:This is debug message 65
DEBUG:root:This is debug message 66
DEBUG:root:This is debug message 67
DEBUG:root:This is debug message 68
DEBUG:root:This is debug message 69
DEBUG:root:This is debug message 70
DEBUG:root:This is debug message 71
DEBUG:root:This is debug message 72
DEBUG:root:This is debug message 73
DEBUG:root:This is debug message 74
DEBUG:root:This is debug message 75
DEBUG:root:This is debug message 76
DEBUG:root:This is debug message 77
DEBUG:root:This is debug message 78
DEBUG:root:This is debug message 79
DEBUG:root:This is debug message 80
DEBUG:root:This is debug message 81
DEBUG:root:This is debug message 82
DEBUG:root:This is debug message 83
DEBUG:root:This is debug message 84
DEBUG:root:This is debug message 85
DEBUG:root:This is debug message 86
DEBUG:root:This is debug message 87
DEBUG:root:This is debug message 88
DEBUG:root:This is debug message 89
DEBUG:root:This is debug message 90
DEBUG:root:This is debug message 91
DEBUG:root:This is debug message 92
DEBUG:root:This is debug message 93
DEBUG:root:This is debug message 94
DEBUG:root:This is debug message 95
DEBUG:root:This is debug message 96
DEBUG:root:This is debug message 97
DEBUG:root:This is debug message 98
DEBUG:root:This is debug message 99
DEBUG:rotating-handler-app:This is debug message 0
DEBUG:rotating-handler-app:This is debug message 1
DEBUG:rotating-handler-app:This is debug message 2
DEBUG:rotating-handler-app:This is debug message 3
DEBUG:rotating-handler-app:This is debug message 4
DEBUG:rotating-handler-app:This is debug message 5
DEBUG:rotating-handler-app:This is debug message 6
DEBUG:rotating-handler-app:This is debug message 7
DEBUG:rotating-handler-app:This is debug message 8
DEBUG:rotating-handler-app:This is debug message 9
DEBUG:rotating-handler-app:This is debug message 10
DEBUG:rotating-handler-app:This is debug message 11
DEBUG:rotating-handler-app:This is debug message 12
DEBUG:rotating-handler-app:This is debug message 13
DEBUG:rotating-handler-app:This is debug message 14
DEBUG:rotating-handler-app:This is debug message 15
DEBUG:rotating-handler-app:This is debug message 16
DEBUG:rotating-handler-app:This is debug message 17
DEBUG:rotating-handler-app:This is debug message 18
DEBUG:rotating-handler-app:This is debug message 19
DEBUG:rotating-handler-app:This is debug message 20
DEBUG:rotating-handler-app:This is debug message 21
DEBUG:rotating-handler-app:This is debug message 22
DEBUG:rotating-handler-app:This is debug message 23
DEBUG:rotating-handler-app:This is debug message 24
DEBUG:rotating-handler-app:This is debug message 25
DEBUG:rotating-handler-app:This is debug message 26
DEBUG:rotating-handler-app:This is debug message 27
DEBUG:rotating-handler-app:This is debug message 28
DEBUG:rotating-handler-app:This is debug message 29
DEBUG:rotating-handler-app:This is debug message 30
DEBUG:rotating-handler-app:This is debug message 31
DEBUG:rotating-handler-app:This is debug message 32
DEBUG:rotating-handler-app:This is debug message 33
DEBUG:rotating-handler-app:This is debug message 34
DEBUG:rotating-handler-app:This is debug message 35
DEBUG:rotating-handler-app:This is debug message 36
DEBUG:rotating-handler-app:This is debug message 37
DEBUG:rotating-handler-app:This is debug message 38
DEBUG:rotating-handler-app:This is debug message 39
DEBUG:rotating-handler-app:This is debug message 40
DEBUG:rotating-handler-app:This is debug message 41
DEBUG:rotating-handler-app:This is debug message 42
DEBUG:rotating-handler-app:This is debug message 43
DEBUG:rotating-handler-app:This is debug message 44
DEBUG:rotating-handler-app:This is debug message 45
DEBUG:rotating-handler-app:This is debug message 46
DEBUG:rotating-handler-app:This is debug message 47
DEBUG:rotating-handler-app:This is debug message 48
DEBUG:rotating-handler-app:This is debug message 49
DEBUG:rotating-handler-app:This is debug message 50
DEBUG:rotating-handler-app:This is debug message 51
DEBUG:rotating-handler-app:This is debug message 52
DEBUG:rotating-handler-app:This is debug message 53
DEBUG:rotating-handler-app:This is debug message 54
DEBUG:rotating-handler-app:This is debug message 55
DEBUG:rotating-handler-app:This is debug message 56
DEBUG:rotating-handler-app:This is debug message 57
DEBUG:rotating-handler-app:This is debug message 58
DEBUG:rotating-handler-app:This is debug message 59
DEBUG:rotating-handler-app:This is debug message 60
DEBUG:rotating-handler-app:This is debug message 61
DEBUG:rotating-handler-app:This is debug message 62
DEBUG:rotating-handler-app:This is debug message 63
DEBUG:rotating-handler-app:This is debug message 64
DEBUG:rotating-handler-app:This is debug message 65
DEBUG:rotating-handler-app:This is debug message 66
DEBUG:rotating-handler-app:This is debug message 67
DEBUG:rotating-handler-app:This is debug message 68
DEBUG:rotating-handler-app:This is debug message 69
DEBUG:rotating-handler-app:This is debug message 70
DEBUG:rotating-handler-app:This is debug message 71
DEBUG:rotating-handler-app:This is debug message 72
DEBUG:rotating-handler-app:This is debug message 73
DEBUG:rotating-handler-app:This is debug message 74
DEBUG:rotating-handler-app:This is debug message 75
DEBUG:rotating-handler-app:This is debug message 76
DEBUG:rotating-handler-app:This is debug message 77
DEBUG:rotating-handler-app:This is debug message 78
DEBUG:rotating-handler-app:This is debug message 79
DEBUG:rotating-handler-app:This is debug message 80
DEBUG:rotating-handler-app:This is debug message 81
DEBUG:rotating-handler-app:This is debug message 82
DEBUG:rotating-handler-app:This is debug message 83
DEBUG:rotating-handler-app:This is debug message 84
DEBUG:rotating-handler-app:This is debug message 85
DEBUG:rotating-handler-app:This is debug message 86
DEBUG:rotating-handler-app:This is debug message 87
DEBUG:rotating-handler-app:This is debug message 88
DEBUG:rotating-handler-app:This is debug message 89
DEBUG:rotating-handler-app:This is debug message 90
DEBUG:rotating-handler-app:This is debug message 91
DEBUG:rotating-handler-app:This is debug message 92
DEBUG:rotating-handler-app:This is debug message 93
DEBUG:rotating-handler-app:This is debug message 94
DEBUG:rotating-handler-app:This is debug message 95
DEBUG:rotating-handler-app:This is debug message 96
DEBUG:rotating-handler-app:This is debug message 97
DEBUG:rotating-handler-app:This is debug message 98
DEBUG:rotating-handler-app:This is debug message 99
